pdb	alpha_helical(%)	beta_strand(%)	coil(%)
4trh	46.92	27.99	25.09
4uxx	46.92	27.99	25.09
5e2q	46.92	27.99	25.09
1kdh	46.92	27.99	25.09
6oy6	46.91	28.0	25.09
6b07	46.91	27.99	25.09
5o4a	46.91	28.0	25.09
5jnq	46.91	27.99	25.09
1tkp	46.92	27.99	25.09
3d48	46.92	27.99	25.09
5wkq	46.92	27.99	25.09
6lwu	46.92	27.99	25.09
7dgu	46.92	27.99	25.09
3es3	46.92	27.99	25.09
7s24	46.92	27.99	25.09
1yvw	46.93	27.99	25.09
6nks	46.92	27.99	25.09
5gu3	46.93	27.99	25.09
2z78	46.93	27.99	25.08
3t6a	46.93	27.99	25.08
4yf1	46.94	27.98	25.08
8u2d	46.93	27.99	25.08
4mt0	46.94	27.98	25.08
5t8f	46.94	27.99	25.08
1u6g	46.94	27.98	25.08
4mmd	46.95	27.98	25.07
7rke	46.95	27.98	25.07
4reb	46.95	27.98	25.07
1g9g	46.95	27.98	25.07
5yxt	46.95	27.98	25.07
2r05	46.95	27.98	25.07
2j7o	46.95	27.98	25.07
3rvg	46.95	27.98	25.07
7b1u	46.95	27.98	25.07
5nzz	46.94	27.98	25.08
5ejs	46.94	27.98	25.08
5ajl	46.94	27.98	25.08
3ge3	46.94	27.98	25.08
3eom	46.94	27.98	25.08
7wat	46.94	27.98	25.08
7d5w	46.95	27.98	25.07
1y2o	46.96	27.97	25.07
6w1e	46.96	27.97	25.07
8chy	46.96	27.97	25.07
2uws	46.96	27.97	25.07
5b1b	46.96	27.97	25.06
5ako	46.96	27.97	25.07
3f6n	46.96	27.97	25.07
7d8r	46.96	27.97	25.07
6jqv	46.96	27.97	25.07
6jqr	46.96	27.97	25.07
7pvk	46.96	27.97	25.07
6hua	46.96	27.97	25.07
1tk5	46.96	27.97	25.07
7pb4	46.96	27.97	25.07
5oxd	46.96	27.97	25.07
7pc8	46.96	27.97	25.07
3abt	46.96	27.97	25.07
1b47	46.96	27.97	25.07
7ksy	46.96	27.97	25.07
5b56	46.96	27.97	25.07
3m62	46.97	27.97	25.07
5uaq	46.95	27.98	25.08
3owa	46.95	27.97	25.07
1dh3	46.96	27.97	25.07
6q5j	46.96	27.97	25.07
2bs2	46.96	27.97	25.07
1jnm	46.96	27.97	25.07
1yq7	46.96	27.97	25.07
6m4u	46.96	27.97	25.07
1su4	46.96	27.97	25.07
4l4i	46.96	27.97	25.07
7tih	46.96	27.97	25.07
1ij5	46.96	27.97	25.07
3h2v	46.96	27.97	25.07
4h63	46.97	27.97	25.07
6wvf	46.96	27.97	25.07
5cy3	46.96	27.97	25.07
4am9	46.96	27.97	25.07
4iyi	46.97	27.97	25.07
6y1j	46.97	27.97	25.06
5h2p	46.97	27.97	25.06
2epk	46.97	27.97	25.06
6h59	46.97	27.97	25.06
2b1e	46.97	27.96	25.06
3gxl	46.97	27.96	25.06
5mzu	46.98	27.96	25.06
1n4q	46.98	27.96	25.06
5oba	47.0	27.95	25.05
6h4i	47.0	27.95	25.05
6n9g	47.0	27.95	25.05
3c3o	47.0	27.95	25.05
5fed	47.0	27.95	25.05
6tzt	47.0	27.95	25.05
6nvk	47.0	27.95	25.05
7niz	47.0	27.95	25.05
4xq1	47.0	27.95	25.05
7lsl	47.0	27.95	25.05
8ue9	47.01	27.95	25.05
4od4	47.01	27.94	25.04
3zze	47.01	27.94	25.04
5hlw	47.01	27.94	25.05
3i59	47.01	27.94	25.05
6vgl	47.01	27.94	25.05
3ka4	47.01	27.94	25.05
7yc2	47.01	27.94	25.05
7zg0	47.0	27.95	25.05
6mg2	47.01	27.95	25.05
5bpc	47.01	27.95	25.05
5oqr	47.01	27.94	25.05
3hym	47.02	27.94	25.04
1u5u	47.02	27.94	25.04
3jrt	47.02	27.94	25.04
1fnp	47.02	27.94	25.04
4hb2	47.02	27.94	25.04
4uwy	47.02	27.94	25.04
3ul0	47.02	27.94	25.04
3v5y	47.03	27.94	25.04
6dyd	47.03	27.94	25.04
9icp	47.03	27.94	25.04
7die	47.03	27.93	25.03
6f6g	47.04	27.93	25.03
8gtg	47.04	27.93	25.03
6yp3	47.04	27.93	25.03
5abm	47.03	27.93	25.04
4l23	47.03	27.93	25.04
5e5g	47.03	27.93	25.04
5sdh	47.03	27.93	25.04
3vro	47.03	27.93	25.04
6of0	47.03	27.93	25.03
6hn2	47.03	27.93	25.03
3c23	47.04	27.93	25.03
3hus	47.03	27.94	25.04
4xhc	47.03	27.94	25.04
6qyh	47.03	27.94	25.04
6ddx	47.02	27.94	25.04
6jqa	47.03	27.93	25.04
6fi5	47.03	27.93	25.04
6bbg	47.06	27.92	25.02
3r6v	47.07	27.91	25.02
2p9s	47.07	27.91	25.02
7aw9	47.07	27.91	25.02
7m4g	47.07	27.91	25.02
6zgs	47.07	27.91	25.02
7kq4	47.07	27.91	25.02
5amc	47.08	27.91	25.02
4wxf	47.08	27.91	25.02
7eha	47.07	27.91	25.02
4gfc	47.07	27.91	25.02
3fd9	47.07	27.91	25.02
2e43	47.07	27.91	25.02
5qsw	47.08	27.9	25.01
7wej	47.08	27.9	25.01
3c4f	47.08	27.91	25.01
5ohc	47.08	27.91	25.02
3knd	47.08	27.9	25.01
6ftv	47.08	27.9	25.01
7qsj	47.08	27.9	25.01
3l3q	47.08	27.9	25.01
7fc5	47.08	27.9	25.01
3s9v	47.09	27.9	25.01
3kmb	47.09	27.9	25.01
5kjm	47.09	27.9	25.01
8qb4	47.09	27.89	25.01
5f0k	47.1	27.89	25.01
4g5e	47.1	27.89	25.01
5ys8	47.11	27.89	25.0
2v2n	47.11	27.89	25.0
6gn8	47.11	27.89	25.0
1p8i	47.11	27.89	25.0
1u9e	47.11	27.88	25.0
1cgp	47.11	27.88	25.0
6hhy	47.11	27.88	25.0
2ity	47.11	27.89	25.0
7zjr	47.11	27.88	25.0
5hez	47.11	27.89	25.0
5d92	47.11	27.88	25.0
5cwv	47.12	27.88	25.0
1gax	47.11	27.88	25.0
1t4c	47.11	27.89	25.0
1yhq	47.09	27.9	25.01
4yi0	47.09	27.9	25.01
1tlf	47.09	27.9	25.01
7pwz	47.09	27.9	25.01
4dlj	47.09	27.9	25.01
6lvm	47.09	27.9	25.01
8c4f	47.09	27.9	25.01
8tcu	47.09	27.89	25.01
5aqu	47.09	27.89	25.01
5am7	47.09	27.9	25.01
7q26	47.09	27.89	25.01
4r8a	47.09	27.9	25.01
1bch	47.09	27.9	25.01
6k7p	47.09	27.9	25.01
6qm3	47.09	27.9	25.01
7eed	47.09	27.9	25.01
5j9t	47.09	27.9	25.01
5gww	47.09	27.89	25.01
7rnm	47.1	27.89	25.01
8kfd	47.1	27.89	25.01
1uo2	47.1	27.89	25.01
6siq	47.1	27.89	25.01
4br3	47.1	27.89	25.01
4h8f	47.1	27.89	25.01
7obx	47.1	27.89	25.01
1sa5	47.1	27.89	25.01
6bpa	47.1	27.89	25.01
8vpu	47.1	27.89	25.01
4hkc	47.1	27.89	25.01
7be8	47.1	27.89	25.01
6tva	47.09	27.89	25.01
8e2m	47.09	27.89	25.01
2xjn	47.1	27.89	25.01
5e6g	47.1	27.89	25.01
8fzm	47.11	27.89	25.01
3s1n	47.09	27.89	25.01
8p1h	47.1	27.89	25.01
3l1t	47.1	27.89	25.01
6xjf	47.1	27.89	25.01
3ok8	47.1	27.89	25.01
2zvo	47.1	27.89	25.01
8qab	47.11	27.89	25.01
6rbi	47.1	27.89	25.01
4g7h	47.08	27.9	25.02
5bti	47.08	27.9	25.02
2ome	47.07	27.9	25.03
6snz	47.08	27.9	25.02
6dqy	47.08	27.9	25.02
8jwy	47.08	27.9	25.02
3euh	47.08	27.9	25.02
2f6h	47.09	27.9	25.02
8pp9	47.08	27.9	25.02
6ds9	47.09	27.9	25.02
6s3b	47.09	27.9	25.02
6bv6	47.09	27.89	25.02
3rko	47.11	27.88	25.01
7kqr	47.11	27.88	25.01
7ff0	47.11	27.88	25.01
5n5s	47.1	27.89	25.01
7y0b	47.1	27.89	25.01
8fub	47.11	27.88	25.01
8b4a	47.1	27.88	25.01
8jai	47.12	27.87	25.0
5t08	47.11	27.88	25.01
4ehs	47.12	27.88	25.01
1qv9	47.12	27.88	25.01
8pyv	47.12	27.88	25.01
6vme	47.12	27.87	25.0
1jmw	47.12	27.87	25.0
6g67	47.12	27.87	25.0
5j6b	47.12	27.87	25.01
1m52	47.12	27.88	25.01
5npr	47.12	27.88	25.01
5j2l	47.12	27.87	25.01
4fmt	47.12	27.87	25.01
4c53	47.12	27.87	25.01
2uuc	47.11	27.88	25.01
3nz0	47.11	27.88	25.01
1luv	47.11	27.88	25.01
6ix9	47.11	27.88	25.01
5yb4	47.11	27.88	25.01
6lil	47.12	27.88	25.01
3wpr	47.11	27.88	25.01
8wpt	47.12	27.88	25.01
4ej4	47.12	27.87	25.01
6haw	47.12	27.88	25.01
6ak5	47.12	27.87	25.01
7a0x	47.11	27.88	25.01
3lbm	47.11	27.88	25.01
4xqu	47.1	27.88	25.01
5aio	47.11	27.88	25.01
1i4l	47.11	27.88	25.01
8y7g	47.11	27.88	25.01
4hav	47.11	27.88	25.01
1hgf	47.1	27.88	25.01
6jyf	47.11	27.88	25.01
3o6q	47.11	27.88	25.01
5mqq	47.11	27.88	25.01
5d80	47.11	27.88	25.01
3cht	47.11	27.88	25.01
4u5v	47.11	27.88	25.01
5j19	47.11	27.88	25.01
6lxt	47.12	27.88	25.01
8iqx	47.12	27.87	25.0
6nhh	47.12	27.87	25.01
6fm4	47.12	27.87	25.01
6szw	47.12	27.87	25.01
6jcy	47.11	27.88	25.01
5ofr	47.11	27.88	25.01
3o3x	47.11	27.88	25.01
6nzb	47.11	27.88	25.01
4dwj	47.12	27.88	25.01
5uc9	47.12	27.87	25.01
2wtu	47.12	27.87	25.01
4yxd	47.12	27.87	25.01
7u98	47.12	27.88	25.01
3p41	47.12	27.88	25.01
4xmo	47.12	27.88	25.01
2v8u	47.12	27.88	25.01
4v3r	47.12	27.88	25.01
1s52	47.12	27.87	25.0
2vf6	47.12	27.87	25.0
8w92	47.12	27.87	25.0
4goe	47.13	27.87	25.0
2fmy	47.12	27.87	25.0
1zw2	47.13	27.87	25.0
6ibo	47.12	27.87	25.0
5ak2	47.13	27.87	25.0
4gtm	47.13	27.87	25.0
6yf5	47.13	27.87	25.0
5aww	47.13	27.87	25.0
4mx2	47.14	27.86	25.0
1m4a	47.15	27.86	25.0
6fwf	47.15	27.86	25.0
2xir	47.15	27.86	25.0
7lub	47.15	27.85	25.0
3twe	47.15	27.85	25.0
3vs8	47.14	27.86	25.0
8pp4	47.15	27.85	24.99
8zld	47.15	27.85	24.99
8cxt	47.15	27.86	24.99
6ie1	47.15	27.86	24.99
5czl	47.15	27.86	24.99
6ids	47.15	27.85	24.99
4u8v	47.16	27.85	24.99
8u5w	47.16	27.85	24.99
3rjv	47.16	27.85	24.99
5c21	47.16	27.85	24.99
8qaa	47.16	27.85	24.99
6hkb	47.17	27.85	24.99
8esd	47.17	27.85	24.99
5xtp	47.17	27.85	24.99
4atv	47.18	27.84	24.98
4n7k	47.18	27.84	24.98
2wty	47.18	27.84	24.98
3tbk	47.18	27.84	24.98
5nk6	47.18	27.84	24.98
3s38	47.18	27.84	24.98
4ji7	47.17	27.84	24.98
3kyi	47.17	27.84	24.98
6dsw	47.17	27.84	24.98
6cr6	47.17	27.84	24.98
4ynw	47.17	27.84	24.98
1s0a	47.17	27.84	24.98
3rmk	47.18	27.84	24.98
5c78	47.18	27.84	24.98
7a0m	47.19	27.84	24.98
2hoz	47.19	27.84	24.98
5tq4	47.19	27.84	24.98
3cax	47.19	27.84	24.98
1s06	47.18	27.84	24.98
6xbo	47.19	27.84	24.98
6dkm	47.19	27.83	24.98
1xly	47.19	27.83	24.98
7d5q	47.2	27.83	24.97
3rzo	47.18	27.84	24.98
4zv0	47.18	27.84	24.98
8b4q	47.18	27.84	24.98
6hqf	47.19	27.84	24.98
6grk	47.19	27.83	24.97
3frs	47.19	27.83	24.97
1vrg	47.19	27.84	24.98
5lsj	47.19	27.83	24.97
5ktb	47.19	27.83	24.97
6qh7	47.2	27.83	24.97
2b05	47.2	27.83	24.97
8bqi	47.2	27.83	24.97
3m7g	47.2	27.83	24.97
5uni	47.2	27.83	24.97
8arq	47.2	27.83	24.97
4g1a	47.2	27.83	24.97
6oyz	47.2	27.83	24.97
7qbp	47.21	27.83	24.97
8owi	47.21	27.83	24.97
6p6g	47.21	27.82	24.97
6nvi	47.21	27.83	24.97
3e1q	47.22	27.82	24.96
7mu5	47.22	27.82	24.96
3sz2	47.22	27.82	24.96
7kt2	47.22	27.82	24.96
6cbn	47.22	27.82	24.96
8bjg	47.22	27.82	24.96
4lmj	47.21	27.82	24.96
7c3n	47.21	27.82	24.96
6me7	47.22	27.82	24.96
3v2r	47.22	27.82	24.96
6inr	47.22	27.82	24.96
3gah	47.22	27.82	24.96
4gk2	47.22	27.82	24.96
6g3f	47.22	27.82	24.96
7mx1	47.22	27.82	24.96
3usj	47.23	27.82	24.96
4hay	47.23	27.81	24.96
8hv8	47.23	27.81	24.96
1uii	47.23	27.81	24.96
4tz4	47.22	27.82	24.96
2jdi	47.21	27.82	24.97
8as9	47.21	27.82	24.97
8hkw	47.22	27.82	24.96
7mnj	47.22	27.82	24.96
4pbu	47.22	27.82	24.96
5odq	47.22	27.82	24.96
6qk1	47.22	27.82	24.96
8hpp	47.22	27.82	24.96
5e2y	47.21	27.82	24.97
4zjq	47.21	27.82	24.96
2yiu	47.21	27.82	24.96
4nz4	47.21	27.82	24.97
6dy4	47.21	27.82	24.96
5tqc	47.22	27.82	24.96
8v8v	47.21	27.82	24.96
5m7n	47.21	27.82	24.96
4y5i	47.22	27.82	24.96
6hel	47.21	27.82	24.96
8k6y	47.22	27.82	24.96
1zqt	47.22	27.82	24.96
6sq0	47.22	27.82	24.96
7pfb	47.22	27.82	24.96
2zta	47.22	27.82	24.96
1deb	47.22	27.82	24.96
1dib	47.22	27.82	24.96
1skv	47.22	27.82	24.96
4ot6	47.22	27.82	24.96
4atm	47.22	27.82	24.96
8ir7	47.22	27.82	24.96
7t1g	47.22	27.82	24.96
1h88	47.22	27.82	24.96
8ukr	47.21	27.83	24.96
4cvt	47.21	27.83	24.96
3k57	47.21	27.83	24.96
1swi	47.21	27.83	24.96
6dyl	47.21	27.82	24.96
4uel	47.21	27.82	24.96
5apv	47.22	27.82	24.96
5zko	47.22	27.82	24.96
5bvz	47.22	27.82	24.96
7v3s	47.22	27.82	24.96
4gt5	47.22	27.82	24.96
5m7p	47.22	27.82	24.96
3eq2	47.22	27.82	24.96
4bg5	47.22	27.82	24.96
1vlg	47.23	27.82	24.96
6k31	47.22	27.82	24.96
7zit	47.22	27.82	24.96
4ryn	47.22	27.82	24.96
1rtm	47.22	27.82	24.96
4cy9	47.22	27.82	24.96
1mq3	47.22	27.82	24.96
7uv8	47.22	27.82	24.96
7o6f	47.22	27.82	24.96
7o6k	47.22	27.82	24.96
7zr2	47.23	27.82	24.96
7bdi	47.22	27.82	24.96
6rf4	47.23	27.82	24.96
6h6u	47.23	27.81	24.96
5ly9	47.23	27.81	24.96
2fms	47.23	27.81	24.96
5f5p	47.24	27.81	24.95
4heh	47.24	27.81	24.95
6d85	47.24	27.81	24.95
2wbl	47.24	27.81	24.95
4ux3	47.24	27.81	24.95
6vs0	47.24	27.81	24.95
6lu0	47.24	27.81	24.95
8ft4	47.25	27.8	24.95
1pxr	47.25	27.8	24.95
6o02	47.25	27.8	24.95
2z4w	47.25	27.8	24.95
5ufk	47.25	27.8	24.95
3h3u	47.25	27.8	24.95
3e33	47.25	27.8	24.95
8hv4	47.25	27.8	24.95
8c35	47.25	27.8	24.95
2x9f	47.25	27.8	24.95
6x2s	47.25	27.8	24.95
7qqm	47.25	27.8	24.95
2gta	47.26	27.8	24.95
3wqj	47.26	27.8	24.94
5ytb	47.26	27.8	24.94
8jbk	47.26	27.8	24.94
4wat	47.26	27.8	24.94
3wqz	47.25	27.8	24.95
1rf0	47.25	27.8	24.95
1jcq	47.25	27.8	24.95
5ayp	47.25	27.8	24.95
2p9i	47.25	27.8	24.95
4kik	47.25	27.8	24.95
3acx	47.25	27.8	24.95
5nkb	47.25	27.8	24.95
5fb7	47.25	27.8	24.95
5fuc	47.25	27.81	24.95
6yof	47.25	27.8	24.95
4g28	47.25	27.8	24.95
2gs4	47.25	27.8	24.95
5w5v	47.25	27.8	24.94
7o57	47.25	27.8	24.94
2nwx	47.26	27.8	24.94
5y24	47.26	27.8	24.94
6g8i	47.26	27.8	24.94
5fmn	47.27	27.8	24.94
6wdq	47.26	27.8	24.94
4a01	47.27	27.79	24.94
7eh1	47.26	27.8	24.94
3p03	47.26	27.79	24.94
6fir	47.26	27.79	24.94
7v58	47.26	27.8	24.94
6cp8	47.26	27.79	24.94
3o8i	47.26	27.79	24.94
7xgq	47.26	27.79	24.94
4rxe	47.27	27.79	24.94
3sbx	47.27	27.79	24.94
2xfh	47.27	27.79	24.94
4wnd	47.27	27.79	24.94
7t7k	47.27	27.79	24.94
6rgo	47.26	27.79	24.94
3ky2	47.26	27.8	24.94
2xcr	47.26	27.8	24.95
6ryf	47.25	27.8	24.95
3u24	47.26	27.8	24.95
7q16	47.26	27.8	24.94
7za3	47.26	27.8	24.94
4h0l	47.26	27.8	24.94
3thx	47.25	27.8	24.94
3bjz	47.26	27.8	24.94
6azu	47.26	27.8	24.94
7e4g	47.26	27.8	24.94
5cwt	47.26	27.8	24.94
4top	47.26	27.8	24.94
4ddq	47.26	27.8	24.94
4kle	47.26	27.8	24.94
6bzq	47.26	27.8	24.94
4cyi	47.26	27.8	24.94
4ime	47.25	27.8	24.95
5dhh	47.26	27.8	24.94
4ufa	47.26	27.8	24.94
7nt8	47.26	27.8	24.94
8pqf	47.26	27.8	24.94
7m8i	47.26	27.8	24.94
3i5c	47.26	27.8	24.94
4gkj	47.25	27.81	24.95
8jwd	47.25	27.81	24.95
4dvg	47.25	27.81	24.94
5e15	47.25	27.8	24.94
5xxj	47.25	27.8	24.94
7v1k	47.25	27.8	24.94
3u3g	47.25	27.8	24.94
3oaa	47.22	27.82	24.96
1fzc	47.21	27.82	24.96
1u7l	47.21	27.82	24.96
1yst	47.21	27.82	24.97
5kce	47.22	27.82	24.96
3ty9	47.21	27.82	24.97
7vrb	47.22	27.82	24.96
7b3z	47.22	27.82	24.96
6a2d	47.22	27.82	24.96
5o6k	47.22	27.82	24.96
2xag	47.22	27.82	24.96
2ql8	47.22	27.82	24.96
8b1h	47.22	27.82	24.96
6nq7	47.22	27.82	24.96
7yc9	47.22	27.82	24.96
4d0o	47.22	27.82	24.96
6s33	47.23	27.82	24.96
7pv7	47.22	27.82	24.96
1gmj	47.23	27.82	24.96
8tfm	47.22	27.82	24.96
1gu4	47.23	27.81	24.96
3tfu	47.22	27.82	24.96
7c18	47.23	27.81	24.96
3zxz	47.23	27.81	24.96
3iwj	47.22	27.81	24.96
3hxd	47.23	27.81	24.96
2vdd	47.23	27.81	24.96
5jqz	47.23	27.81	24.96
4qpj	47.23	27.81	24.96
7ek5	47.23	27.81	24.96
2jbw	47.23	27.81	24.96
5ip9	47.22	27.82	24.96
4u7y	47.22	27.82	24.96
3vpm	47.22	27.82	24.96
4xk8	47.23	27.82	24.96
1oz0	47.23	27.82	24.96
6sur	47.23	27.82	24.96
8hoe	47.22	27.82	24.96
7zng	47.23	27.81	24.96
4i80	47.23	27.81	24.96
6yfv	47.23	27.82	24.96
4oo2	47.23	27.81	24.96
8j0r	47.23	27.81	24.96
6dy8	47.23	27.81	24.96
5l0w	47.23	27.81	24.95
7ewu	47.23	27.81	24.95
3upv	47.23	27.81	24.95
4kn4	47.21	27.82	24.96
2bdp	47.21	27.82	24.96
2vyi	47.22	27.82	24.96
4xyf	47.22	27.82	24.96
4f3l	47.21	27.82	24.96
5ia3	47.21	27.82	24.97
8gvm	47.22	27.82	24.96
8u2e	47.22	27.82	24.96
5kze	47.22	27.82	24.96
5tob	47.21	27.82	24.96
4dyc	47.21	27.82	24.96
6dic	47.21	27.82	24.96
1jv7	47.22	27.82	24.96
2z3r	47.21	27.83	24.96
3aso	47.22	27.82	24.96
2bcq	47.22	27.82	24.96
1ywt	47.22	27.82	24.96
6w08	47.22	27.82	24.96
5txz	47.22	27.82	24.96
5llx	47.22	27.82	24.96
4ioc	47.2	27.83	24.97
4jug	47.19	27.84	24.97
5lwe	47.19	27.83	24.97
3cjg	47.19	27.83	24.97
8scr	47.19	27.83	24.97
5m4p	47.19	27.83	24.97
6d8e	47.19	27.83	24.97
4tnm	47.19	27.83	24.97
1t06	47.2	27.83	24.97
4pky	47.2	27.83	24.97
8iof	47.2	27.83	24.97
7icp	47.2	27.83	24.97
6mfv	47.2	27.83	24.97
8paq	47.2	27.83	24.97
1ywm	47.2	27.83	24.97
3g84	47.2	27.83	24.97
2r26	47.2	27.83	24.97
3vn0	47.2	27.83	24.97
4nle	47.21	27.82	24.97
8bfe	47.21	27.82	24.97
4akh	47.22	27.82	24.96
4dg7	47.23	27.81	24.96
1agm	47.23	27.81	24.96
6hdz	47.22	27.81	24.96
3rwr	47.22	27.82	24.96
5vr2	47.22	27.82	24.96
8tfu	47.22	27.82	24.96
7cmw	47.22	27.82	24.96
8gt9	47.22	27.82	24.96
1few	47.22	27.82	24.96
3gtm	47.21	27.83	24.96
5lm1	47.21	27.83	24.96
4b6x	47.21	27.83	24.96
4m9n	47.21	27.83	24.96
5w97	47.22	27.83	24.96
3dkc	47.22	27.83	24.96
4i9c	47.22	27.82	24.96
2ieq	47.22	27.82	24.96
5l3e	47.22	27.82	24.96
5cjz	47.22	27.82	24.96
3i9w	47.22	27.82	24.96
7co9	47.22	27.82	24.96
7ah5	47.22	27.82	24.96
8oyv	47.22	27.82	24.95
2zcr	47.22	27.82	24.95
7zov	47.23	27.82	24.95
6frv	47.23	27.82	24.95
3p4p	47.22	27.82	24.95
2ps5	47.23	27.82	24.95
5jy0	47.23	27.82	24.95
3gaj	47.23	27.82	24.95
3bce	47.22	27.82	24.95
8k6p	47.22	27.82	24.95
4m7c	47.23	27.82	24.95
5ch4	47.23	27.82	24.95
5xa5	47.23	27.82	24.95
3tlw	47.23	27.82	24.95
2ckp	47.23	27.82	24.95
1f4m	47.23	27.82	24.95
2bmu	47.23	27.82	24.95
3zmu	47.23	27.82	24.95
6ysg	47.23	27.82	24.95
6r2g	47.23	27.82	24.95
5mjy	47.23	27.82	24.95
4xjx	47.23	27.82	24.95
2y03	47.23	27.82	24.95
5i4z	47.23	27.82	24.95
3uit	47.24	27.82	24.95
6kpb	47.24	27.82	24.95
6gaa	47.24	27.82	24.94
6x5s	47.24	27.82	24.95
1rvx	47.22	27.82	24.95
6tvo	47.23	27.82	24.95
4n4o	47.23	27.82	24.95
5i50	47.23	27.82	24.95
1u9g	47.23	27.82	24.95
1gnt	47.23	27.82	24.95
7q7k	47.23	27.82	24.95
2vx0	47.23	27.82	24.95
7icv	47.23	27.82	24.95
7nfg	47.23	27.82	24.95
6hd9	47.23	27.82	24.95
7riy	47.21	27.83	24.96
8a1g	47.22	27.82	24.95
4hb1	47.22	27.82	24.95
2ga0	47.23	27.82	24.95
7rfy	47.23	27.82	24.95
2r5s	47.23	27.82	24.95
4dj4	47.23	27.82	24.95
4y8d	47.23	27.82	24.95
6qii	47.23	27.82	24.95
4h8l	47.23	27.82	24.95
3p1n	47.23	27.82	24.95
4zpr	47.23	27.82	24.95
1bg1	47.23	27.82	24.95
4hga	47.23	27.82	24.95
7n4r	47.23	27.82	24.95
6p1s	47.23	27.82	24.95
1t6q	47.23	27.82	24.95
4j7b	47.22	27.82	24.95
5fq8	47.2	27.83	24.96
6s37	47.21	27.83	24.96
5gvb	47.2	27.83	24.96
5urm	47.2	27.84	24.96
7vxq	47.2	27.84	24.97
1n23	47.2	27.84	24.96
7wjt	47.2	27.84	24.96
8c0l	47.2	27.84	24.96
7crl	47.2	27.84	24.96
7f4m	47.2	27.84	24.96
3l0m	47.2	27.84	24.96
5afv	47.2	27.84	24.96
3c2m	47.2	27.84	24.96
6e7g	47.2	27.84	24.97
4txp	47.2	27.84	24.97
5d3q	47.2	27.84	24.97
3zvr	47.2	27.84	24.97
2i0g	47.2	27.84	24.96
2w1i	47.2	27.84	24.96
1v54	47.2	27.83	24.96
4leh	47.2	27.84	24.96
7jni	47.21	27.83	24.96
7svs	47.21	27.83	24.96
3bua	47.21	27.83	24.96
6lru	47.21	27.83	24.96
8w7b	47.21	27.83	24.96
6m0q	47.21	27.83	24.96
4my7	47.21	27.83	24.96
5inr	47.2	27.84	24.96
1xwq	47.2	27.84	24.96
6v0k	47.21	27.83	24.96
8at9	47.21	27.83	24.96
6ox7	47.21	27.83	24.96
4a1s	47.21	27.83	24.96
6rrn	47.21	27.83	24.96
4ii4	47.21	27.83	24.96
6kkl	47.21	27.83	24.96
7kxo	47.21	27.83	24.96
5n7k	47.21	27.83	24.96
4kjr	47.22	27.83	24.96
7lvh	47.22	27.83	24.96
3m00	47.22	27.83	24.96
6bpc	47.21	27.83	24.96
1joc	47.21	27.83	24.96
4tph	47.22	27.83	24.96
4amn	47.22	27.83	24.96
1q0k	47.22	27.82	24.95
4nwp	47.23	27.82	24.95
3rtv	47.23	27.82	24.95
8ch0	47.23	27.82	24.95
7xa0	47.23	27.82	24.95
2ysu	47.22	27.82	24.95
5c26	47.22	27.82	24.95
5eqp	47.22	27.82	24.95
4f6v	47.22	27.82	24.95
4h73	47.21	27.83	24.96
5g2c	47.22	27.83	24.96
6t3h	47.22	27.83	24.96
6qo9	47.22	27.82	24.95
4jpb	47.22	27.82	24.95
1h68	47.22	27.82	24.95
8arb	47.23	27.82	24.95
4ny8	47.23	27.82	24.95
6hcl	47.23	27.82	24.95
6bw6	47.24	27.82	24.95
2v71	47.24	27.81	24.95
7p42	47.24	27.81	24.95
6rqo	47.24	27.81	24.95
1xzq	47.24	27.81	24.95
7s9q	47.24	27.81	24.95
4gs7	47.24	27.82	24.95
4x28	47.24	27.82	24.95
6ctf	47.24	27.81	24.94
1twa	47.23	27.82	24.95
3eqx	47.23	27.82	24.95
1n1c	47.23	27.82	24.95
3c64	47.23	27.82	24.95
7q84	47.23	27.82	24.95
6yc0	47.24	27.81	24.95
7cc2	47.24	27.81	24.95
8arw	47.24	27.81	24.95
5com	47.24	27.81	24.95
6a5s	47.25	27.81	24.94
6cbv	47.24	27.81	24.95
2ijm	47.24	27.81	24.95
1bjt	47.24	27.81	24.95
1v55	47.25	27.81	24.94
6o6x	47.24	27.81	24.94
7e6y	47.25	27.81	24.94
2eb3	47.24	27.81	24.94
4lfa	47.24	27.81	24.95
2po4	47.24	27.81	24.95
3gtq	47.22	27.82	24.95
3m50	47.23	27.82	24.95
6mgh	47.22	27.82	24.96
6snr	47.22	27.82	24.96
1cnt	47.23	27.82	24.95
5mw0	47.23	27.82	24.95
8frq	47.23	27.82	24.95
2ca5	47.23	27.82	24.95
4j6s	47.23	27.82	24.95
4bb4	47.23	27.82	24.95
5yqg	47.24	27.81	24.95
8awg	47.24	27.81	24.95
6tqx	47.24	27.81	24.95
4xbf	47.24	27.81	24.95
4l00	47.24	27.81	24.95
6ox4	47.24	27.81	24.95
4or2	47.24	27.81	24.95
4z6e	47.24	27.81	24.95
3gai	47.24	27.81	24.95
6kjm	47.24	27.81	24.95
5l8g	47.25	27.8	24.95
4u1c	47.25	27.8	24.94
3zia	47.24	27.81	24.95
4jdq	47.25	27.81	24.95
6wcu	47.25	27.81	24.95
6q3q	47.25	27.81	24.95
4iwd	47.25	27.81	24.95
5ncm	47.25	27.81	24.95
7pza	47.25	27.81	24.95
2wcf	47.25	27.81	24.95
7r60	47.25	27.81	24.95
