pdb	alpha_helical(%)	beta_strand(%)	coil(%)
3vg9	47.71	27.61	24.68
3rf7	47.71	27.61	24.68
6tvf	47.68	27.62	24.7
3ue4	47.67	27.62	24.7
6ps0	47.68	27.62	24.7
6oqq	47.68	27.62	24.7
3f4i	47.68	27.62	24.7
2c23	47.69	27.62	24.7
5e90	47.69	27.62	24.7
4cyz	47.67	27.62	24.71
5z67	47.67	27.62	24.71
6kpt	47.67	27.62	24.7
6n86	47.68	27.62	24.7
6y3r	47.68	27.62	24.7
4k0d	47.68	27.62	24.7
4ji5	47.67	27.63	24.71
1ytz	47.67	27.62	24.71
5cap	47.67	27.63	24.71
7ujb	47.66	27.63	24.71
3re7	47.7	27.6	24.7
5zjm	47.7	27.61	24.7
6f6e	47.7	27.6	24.69
5ja0	47.71	27.6	24.69
2wrh	47.69	27.61	24.7
3h3x	47.68	27.61	24.71
7zi0	47.69	27.61	24.7
6xr1	47.7	27.61	24.7
6dd8	47.71	27.6	24.69
4zsz	47.71	27.6	24.69
4cyv	47.69	27.61	24.7
2efr	47.7	27.6	24.7
1n6m	47.7	27.6	24.7
3tor	47.7	27.6	24.7
4h5y	47.71	27.6	24.7
2bde	47.7	27.6	24.7
6mam	47.67	27.62	24.71
1hx1	47.67	27.62	24.71
4zgd	47.64	27.64	24.72
3a8q	47.64	27.64	24.72
7dgw	47.64	27.64	24.72
4tpj	47.65	27.63	24.71
2fsz	47.66	27.63	24.71
1fzi	47.67	27.62	24.71
4qqc	47.67	27.63	24.71
6o1x	47.66	27.63	24.71
8cqz	47.66	27.63	24.71
3u3f	47.67	27.62	24.7
8e5v	47.68	27.62	24.7
7m76	47.68	27.62	24.7
4ag6	47.68	27.62	24.7
7c48	47.68	27.62	24.7
7k5o	47.68	27.62	24.7
1w0j	47.66	27.63	24.71
3w2q	47.66	27.63	24.71
5ew8	47.66	27.63	24.71
1m56	47.67	27.63	24.7
5szg	47.67	27.63	24.7
3f57	47.68	27.62	24.7
3g9r	47.68	27.62	24.7
2iaz	47.69	27.62	24.69
5sdi	47.69	27.62	24.69
7kt4	47.69	27.62	24.7
6kfq	47.69	27.62	24.69
5m73	47.69	27.62	24.69
1h5w	47.69	27.62	24.69
5eqz	47.69	27.62	24.69
6yr7	47.7	27.61	24.69
5y14	47.7	27.61	24.69
2xj7	47.69	27.61	24.69
2fb5	47.69	27.61	24.7
1f9d	47.69	27.61	24.7
4jmu	47.69	27.61	24.7
6o9o	47.69	27.61	24.7
6rfb	47.69	27.61	24.7
2yy0	47.7	27.61	24.7
7obt	47.7	27.61	24.69
7z3p	47.69	27.61	24.7
6bzt	47.69	27.61	24.7
6ga3	47.69	27.61	24.7
8tuu	47.69	27.61	24.7
7cju	47.69	27.61	24.7
4us4	47.7	27.6	24.7
6j7x	47.7	27.6	24.7
7kst	47.7	27.6	24.7
5itd	47.69	27.61	24.7
8chu	47.69	27.61	24.7
4qzf	47.69	27.61	24.71
6at7	47.69	27.6	24.7
6p6k	47.69	27.6	24.7
5tos	47.69	27.6	24.7
5j4e	47.69	27.61	24.71
4hre	47.69	27.6	24.7
2xcc	47.7	27.6	24.7
2qup	47.7	27.6	24.7
3gig	47.7	27.6	24.7
5xf9	47.69	27.61	24.71
2j0n	47.69	27.61	24.71
3faa	47.68	27.61	24.71
6rv3	47.69	27.61	24.7
1am9	47.7	27.61	24.7
7dqp	47.73	27.59	24.68
4xus	47.73	27.59	24.68
7zmy	47.74	27.58	24.68
1yy4	47.74	27.58	24.68
3qbg	47.75	27.58	24.67
4f4c	47.76	27.57	24.67
3qk6	47.76	27.57	24.67
5l0i	47.76	27.57	24.67
7s8t	47.77	27.57	24.67
5yep	47.77	27.56	24.67
6hm7	47.77	27.56	24.67
6wvg	47.76	27.57	24.67
4nj2	47.77	27.57	24.67
8j9s	47.77	27.57	24.67
7o3r	47.77	27.56	24.66
5tia	47.78	27.56	24.66
3sfv	47.78	27.56	24.66
5y4c	47.78	27.56	24.66
5lzr	47.8	27.55	24.65
3thz	47.8	27.55	24.65
2xkk	47.79	27.55	24.65
3qf4	47.8	27.55	24.65
2c1j	47.81	27.55	24.65
2wvo	47.81	27.55	24.64
8vjy	47.81	27.54	24.64
4rt7	47.81	27.55	24.64
5nz8	47.8	27.55	24.65
4xnw	47.8	27.55	24.65
7dkh	47.82	27.54	24.64
4a9a	47.82	27.54	24.64
6nsv	47.82	27.54	24.64
6ii9	47.78	27.56	24.66
6za7	47.78	27.56	24.65
3nbz	47.79	27.56	24.65
2cg2	47.79	27.56	24.65
3chi	47.8	27.56	24.65
8ue2	47.8	27.55	24.64
5eob	47.8	27.55	24.64
2iu0	47.8	27.56	24.65
2zzg	47.79	27.56	24.65
3wzd	47.79	27.56	24.65
6pnx	47.78	27.56	24.66
5tvb	47.79	27.56	24.65
7tv4	47.78	27.56	24.66
7vuf	47.78	27.56	24.66
5xdk	47.78	27.56	24.66
3pbj	47.78	27.56	24.66
5hvj	47.78	27.56	24.66
1rq0	47.78	27.56	24.66
6i7l	47.78	27.56	24.66
3l8p	47.78	27.56	24.66
8ajz	47.78	27.56	24.66
5nsw	47.79	27.56	24.65
6bl6	47.8	27.55	24.65
5ukm	47.79	27.56	24.65
5jtc	47.79	27.56	24.65
8rsj	47.79	27.56	24.66
3dyf	47.8	27.55	24.65
8arf	47.8	27.55	24.65
5lp2	47.8	27.55	24.65
5y7q	47.8	27.55	24.65
8os1	47.8	27.55	24.65
4bgd	47.8	27.55	24.65
6fn9	47.8	27.55	24.65
4ig7	47.8	27.55	24.65
5nbt	47.8	27.55	24.65
7lq2	47.81	27.55	24.64
3ziq	47.81	27.55	24.64
7rfk	47.8	27.55	24.64
6x5u	47.79	27.56	24.65
5qsn	47.8	27.55	24.64
7w8b	47.8	27.55	24.64
6zpt	47.81	27.55	24.64
2jiw	47.81	27.55	24.64
4dkf	47.79	27.56	24.65
4a2u	47.79	27.56	24.65
6m33	47.79	27.56	24.65
2wjn	47.78	27.56	24.66
7c7x	47.79	27.56	24.66
2yoe	47.77	27.57	24.66
5e8t	47.77	27.58	24.66
7ex0	47.76	27.58	24.66
1bkd	47.77	27.58	24.66
7zjs	47.78	27.57	24.65
7w29	47.78	27.57	24.65
2fbn	47.78	27.57	24.65
1o1t	47.78	27.57	24.65
7eh2	47.74	27.58	24.68
6scb	47.74	27.58	24.68
4jbz	47.74	27.59	24.68
5sdd	47.73	27.59	24.68
3hxf	47.74	27.58	24.68
6g6w	47.74	27.59	24.68
7o6a	47.74	27.59	24.68
5d3f	47.74	27.58	24.67
5vs2	47.74	27.58	24.68
5vkf	47.75	27.58	24.67
4yg2	47.71	27.6	24.69
4ri7	47.71	27.6	24.69
7pzb	47.71	27.6	24.7
1thz	47.7	27.6	24.7
3uza	47.71	27.59	24.7
1tju	47.72	27.59	24.69
5g2e	47.73	27.59	24.69
2z4v	47.73	27.59	24.68
5kaq	47.69	27.61	24.7
5zdr	47.7	27.61	24.7
3og6	47.69	27.61	24.7
5cwf	47.7	27.6	24.7
5lm2	47.71	27.6	24.69
7o9c	47.72	27.6	24.69
5gth	47.72	27.6	24.69
3ojs	47.72	27.59	24.69
5b02	47.73	27.59	24.68
3ukw	47.73	27.59	24.68
8ts9	47.73	27.59	24.68
5eyt	47.73	27.59	24.68
2iqh	47.73	27.59	24.68
3lya	47.73	27.59	24.68
3cvl	47.73	27.59	24.68
1zqk	47.73	27.59	24.68
2h6i	47.73	27.59	24.68
7wsk	47.73	27.59	24.68
6j4j	47.74	27.58	24.68
5crv	47.74	27.58	24.67
7v29	47.74	27.59	24.67
3szb	47.74	27.59	24.68
7pc4	47.74	27.59	24.68
6njs	47.74	27.59	24.68
6kh4	47.74	27.59	24.68
1ui6	47.74	27.59	24.68
6tk7	47.74	27.58	24.67
7tcd	47.74	27.58	24.67
5amr	47.74	27.58	24.67
7msp	47.74	27.58	24.67
5vtx	47.73	27.59	24.68
4hab	47.72	27.59	24.69
6a30	47.73	27.59	24.68
4f4k	47.73	27.59	24.69
3hhm	47.72	27.59	24.69
8qk1	47.72	27.59	24.69
6tn8	47.72	27.59	24.69
4i2d	47.72	27.59	24.69
1ias	47.71	27.6	24.69
5swf	47.71	27.6	24.69
1jgz	47.71	27.6	24.69
2q6h	47.72	27.59	24.69
1run	47.72	27.59	24.69
3ew3	47.71	27.6	24.69
4uxw	47.72	27.6	24.69
8ye5	47.72	27.59	24.69
8q56	47.72	27.6	24.69
8ims	47.72	27.59	24.68
5upo	47.71	27.6	24.69
7msk	47.71	27.6	24.69
2ymm	47.71	27.6	24.69
8hug	47.72	27.59	24.69
3ae0	47.72	27.59	24.69
3ayx	47.71	27.6	24.69
2zdi	47.72	27.59	24.69
4jsx	47.72	27.6	24.69
3pmm	47.72	27.6	24.69
8bzg	47.72	27.6	24.68
5lrs	47.72	27.6	24.69
6tyl	47.71	27.6	24.69
6hq7	47.7	27.61	24.69
7o3n	47.7	27.61	24.69
8av7	47.7	27.61	24.69
7u8f	47.67	27.62	24.71
3sxy	47.67	27.62	24.71
8gjh	47.65	27.64	24.71
1y2m	47.66	27.63	24.71
6m2l	47.67	27.63	24.7
3w2o	47.67	27.63	24.7
5w3t	47.66	27.63	24.7
4i0t	47.66	27.63	24.71
5uy8	47.65	27.63	24.71
6v6h	47.66	27.63	24.71
3obv	47.68	27.62	24.7
3ksa	47.68	27.62	24.7
5dyf	47.68	27.62	24.7
2wp9	47.68	27.62	24.7
7n4q	47.67	27.62	24.7
2asr	47.68	27.62	24.7
5ztl	47.68	27.62	24.7
8w7v	47.68	27.62	24.7
2ht2	47.67	27.63	24.7
6ctr	47.67	27.63	24.7
8y6f	47.69	27.62	24.69
1moj	47.7	27.61	24.69
6ivr	47.71	27.61	24.68
5ipx	47.71	27.61	24.68
5afx	47.72	27.6	24.68
1rvt	47.7	27.61	24.69
6j8w	47.71	27.6	24.68
8owo	47.71	27.6	24.68
5wqd	47.72	27.6	24.68
2bbh	47.72	27.6	24.68
1fbm	47.73	27.6	24.68
5vo2	47.72	27.6	24.68
4beb	47.71	27.61	24.68
3abl	47.72	27.61	24.67
8c36	47.72	27.6	24.67
7rg6	47.73	27.6	24.67
7axn	47.73	27.6	24.67
5e1t	47.73	27.61	24.67
6hda	47.72	27.61	24.67
3iv0	47.72	27.61	24.67
6qva	47.73	27.6	24.67
4z3b	47.73	27.6	24.67
1otk	47.73	27.6	24.66
7xyx	47.74	27.6	24.66
3e32	47.74	27.6	24.66
8g63	47.74	27.6	24.66
5t6s	47.71	27.61	24.68
5aqf	47.71	27.61	24.68
7chu	47.68	27.62	24.7
8xri	47.68	27.62	24.7
5jaj	47.68	27.62	24.7
3w03	47.67	27.62	24.7
3ncf	47.67	27.63	24.7
5im6	47.67	27.63	24.71
4dvd	47.67	27.63	24.71
6dve	47.65	27.64	24.72
4ja3	47.66	27.63	24.71
3kcf	47.65	27.64	24.71
8wie	47.66	27.63	24.71
5i9y	47.66	27.63	24.71
6ry1	47.66	27.63	24.71
4qzg	47.66	27.63	24.71
1tkd	47.65	27.63	24.71
5bsh	47.66	27.63	24.71
7m60	47.66	27.63	24.71
2xwu	47.67	27.62	24.71
3uzd	47.67	27.62	24.7
6dvb	47.65	27.63	24.71
7yq2	47.65	27.63	24.71
4tq6	47.66	27.63	24.71
2a1f	47.65	27.63	24.72
6akx	47.66	27.63	24.71
1rw8	47.65	27.63	24.72
2yii	47.67	27.62	24.71
4rh7	47.67	27.62	24.7
5hog	47.66	27.63	24.71
4mfv	47.67	27.62	24.71
7kt1	47.67	27.62	24.71
5w6q	47.67	27.62	24.71
6rcv	47.65	27.64	24.72
4o5k	47.65	27.64	24.72
5mqo	47.64	27.64	24.72
6eb0	47.64	27.64	24.72
4fx0	47.65	27.64	24.72
4p40	47.65	27.64	24.72
3snx	47.65	27.64	24.72
8scl	47.65	27.64	24.72
5uh5	47.63	27.65	24.73
7m7a	47.63	27.65	24.72
8byy	47.63	27.65	24.72
7u8m	47.57	27.68	24.74
1fgk	47.57	27.69	24.75
3mqc	47.58	27.68	24.74
3etz	47.58	27.68	24.74
6fpg	47.58	27.68	24.74
7aej	47.58	27.68	24.74
2vxi	47.6	27.67	24.73
6wh5	47.6	27.67	24.73
7ox2	47.57	27.69	24.74
5nij	47.56	27.69	24.75
4xee	47.57	27.69	24.74
6jx0	47.57	27.69	24.74
5x60	47.56	27.69	24.74
1t72	47.58	27.68	24.74
5x8d	47.58	27.68	24.74
6jrk	47.58	27.68	24.74
5wmu	47.58	27.68	24.74
2dr1	47.58	27.68	24.74
6jlf	47.59	27.68	24.73
5qst	47.6	27.67	24.73
8k83	47.61	27.67	24.72
6hb4	47.61	27.67	24.72
6ipk	47.61	27.67	24.72
5fd7	47.62	27.66	24.72
6vfb	47.61	27.66	24.72
5heu	47.6	27.68	24.72
6sev	47.6	27.67	24.72
8j1w	47.61	27.67	24.72
2wy6	47.6	27.67	24.72
1g6u	47.61	27.67	24.72
4ebv	47.6	27.67	24.72
5oob	47.62	27.67	24.71
8sqr	47.62	27.67	24.71
6hdb	47.62	27.67	24.71
4cnh	47.61	27.67	24.71
5etw	47.62	27.67	24.71
8up3	47.61	27.67	24.72
6os1	47.61	27.67	24.72
5nv9	47.61	27.67	24.72
3gni	47.61	27.67	24.71
8bm5	47.62	27.67	24.71
5e3a	47.61	27.67	24.71
7a04	47.61	27.67	24.71
8ir9	47.62	27.67	24.71
8s31	47.61	27.67	24.72
4fk6	47.61	27.67	24.72
7pc3	47.61	27.67	24.72
4abm	47.61	27.67	24.71
1li5	47.61	27.67	24.72
3fx3	47.61	27.67	24.72
8sqp	47.61	27.67	24.72
5khn	47.62	27.67	24.71
3rjj	47.62	27.67	24.71
5xgi	47.62	27.67	24.71
3kxi	47.62	27.67	24.71
7m4k	47.62	27.67	24.71
1uo4	47.62	27.67	24.71
5izt	47.62	27.67	24.71
5kvt	47.62	27.67	24.71
2o02	47.63	27.67	24.71
6mzk	47.61	27.67	24.72
5vie	47.61	27.67	24.72
5m4y	47.61	27.67	24.72
6ma3	47.61	27.67	24.72
5ekc	47.59	27.67	24.73
5nkh	47.59	27.68	24.73
5g36	47.59	27.67	24.73
4rq8	47.59	27.67	24.73
3v47	47.58	27.68	24.74
1aij	47.58	27.68	24.74
8enk	47.57	27.68	24.74
5vz8	47.57	27.68	24.74
6ux8	47.57	27.68	24.74
4c7n	47.58	27.68	24.74
5uag	47.54	27.7	24.76
5y2j	47.55	27.69	24.76
5i3t	47.55	27.69	24.76
3utw	47.55	27.69	24.76
3aai	47.56	27.69	24.76
4dzl	47.56	27.68	24.75
4ldl	47.56	27.68	24.75
3qdn	47.57	27.68	24.75
8p6f	47.56	27.68	24.75
6pbt	47.56	27.68	24.76
6zvd	47.56	27.68	24.75
4wxb	47.56	27.68	24.76
4jsv	47.56	27.68	24.76
2b1v	47.56	27.68	24.76
6tm1	47.56	27.68	24.76
8wtb	47.56	27.68	24.76
5z4z	47.56	27.68	24.76
4bbr	47.53	27.7	24.77
5w1t	47.5	27.71	24.78
8aqz	47.51	27.71	24.78
5mg8	47.5	27.71	24.78
6ipl	47.5	27.71	24.79
1g1i	47.51	27.71	24.78
7bj1	47.51	27.71	24.79
6k06	47.51	27.71	24.78
3wks	47.51	27.71	24.78
6nhq	47.49	27.71	24.8
2cho	47.49	27.71	24.8
5tio	47.48	27.72	24.8
6zhi	47.48	27.72	24.8
5kc1	47.48	27.72	24.8
1szi	47.49	27.72	24.8
4jav	47.49	27.72	24.8
6b0f	47.49	27.72	24.8
4l3i	47.5	27.71	24.79
5jxd	47.5	27.71	24.79
8j9t	47.5	27.71	24.79
3qwv	47.5	27.71	24.79
4fzp	47.5	27.71	24.79
3ba9	47.5	27.71	24.79
4rwl	47.49	27.71	24.8
6pdx	47.46	27.73	24.81
4fi3	47.46	27.73	24.81
4ebk	47.46	27.73	24.81
2ogv	47.46	27.73	24.81
2nov	47.45	27.73	24.81
3q4r	47.45	27.73	24.81
6j8m	47.46	27.73	24.81
8f4q	47.46	27.73	24.81
5jcy	47.47	27.73	24.81
8qhl	47.47	27.73	24.8
2r6c	47.47	27.73	24.81
6ch2	47.47	27.72	24.8
3f7f	47.45	27.74	24.81
5cal	47.45	27.74	24.81
3m6z	47.45	27.74	24.81
4da5	47.45	27.74	24.81
3rou	47.45	27.74	24.81
5t5s	47.45	27.74	24.81
1tjc	47.45	27.74	24.81
5lg4	47.45	27.74	24.81
4jeh	47.45	27.74	24.81
2x0c	47.46	27.73	24.81
2a73	47.44	27.75	24.81
8av8	47.44	27.74	24.81
8pv0	47.45	27.74	24.81
6r1o	47.45	27.74	24.81
2yn8	47.45	27.74	24.81
5hyh	47.45	27.74	24.81
5m53	47.45	27.74	24.81
4d0n	47.45	27.74	24.81
7ucc	47.45	27.74	24.81
3nxq	47.46	27.74	24.81
5xg2	47.46	27.73	24.8
5myd	47.47	27.73	24.8
3l0i	47.47	27.73	24.8
8qdb	47.47	27.73	24.8
1n9a	47.47	27.73	24.8
5t3r	47.45	27.74	24.81
6ipi	47.45	27.74	24.81
3p1q	47.46	27.74	24.81
3q24	47.46	27.74	24.8
6kh1	47.46	27.74	24.8
7cnd	47.47	27.73	24.8
3m3y	47.44	27.75	24.81
3uq0	47.44	27.75	24.81
4a1o	47.44	27.75	24.81
4g1t	47.44	27.74	24.81
5edq	47.44	27.75	24.81
5dbc	47.44	27.75	24.81
9icy	47.44	27.75	24.81
1f23	47.45	27.74	24.81
4c62	47.44	27.74	24.81
6c4y	47.45	27.74	24.81
6lud	47.45	27.74	24.81
6dkw	47.45	27.74	24.81
1f5z	47.44	27.74	24.81
8av3	47.45	27.74	24.81
4fus	47.44	27.74	24.81
8up6	47.44	27.75	24.82
6kgr	47.44	27.75	24.82
3gxx	47.43	27.75	24.82
1xvd	47.44	27.74	24.82
8rz0	47.43	27.75	24.82
7jqe	47.43	27.75	24.82
5itc	47.44	27.74	24.82
6pyq	47.44	27.74	24.82
6zaz	47.43	27.75	24.82
2chl	47.43	27.75	24.82
3cvn	47.43	27.75	24.82
2c6n	47.43	27.75	24.82
1yxb	47.44	27.75	24.82
6aah	47.43	27.75	24.82
2eae	47.43	27.75	24.82
6x2q	47.43	27.75	24.82
4ucw	47.42	27.76	24.82
5nk2	47.42	27.76	24.82
5bv9	47.42	27.76	24.83
4d6w	47.4	27.76	24.83
6nct	47.4	27.77	24.83
4du3	47.4	27.77	24.84
3vf0	47.4	27.77	24.84
1kuq	47.4	27.77	24.84
7nfw	47.4	27.76	24.84
4n84	47.4	27.76	24.83
3o0z	47.42	27.76	24.83
8ijt	47.42	27.75	24.83
4wf9	47.39	27.76	24.84
5b0m	47.41	27.75	24.84
8bou	47.4	27.76	24.84
4cim	47.4	27.76	24.84
6rhc	47.4	27.75	24.84
4qqj	47.4	27.76	24.84
1rci	47.4	27.75	24.84
6azv	47.41	27.75	24.84
4wnf	47.41	27.75	24.84
4jo7	47.41	27.75	24.84
7wxl	47.42	27.75	24.84
4up6	47.42	27.75	24.83
5guw	47.42	27.75	24.84
7zf7	47.42	27.75	24.84
3ort	47.41	27.75	24.84
4wqt	47.35	27.78	24.87
7vi7	47.35	27.78	24.87
5fhx	47.34	27.79	24.87
5d4b	47.34	27.79	24.87
7xbi	47.34	27.79	24.87
1zww	47.34	27.78	24.87
6x5y	47.35	27.78	24.87
7lf4	47.35	27.78	24.87
8w8z	47.36	27.77	24.86
7m0z	47.36	27.78	24.86
4c3i	47.33	27.79	24.87
2yi8	47.32	27.8	24.87
8anb	47.32	27.8	24.87
7bql	47.32	27.8	24.87
5usy	47.32	27.8	24.88
5yti	47.32	27.8	24.88
5c65	47.33	27.8	24.87
7crk	47.33	27.8	24.87
4iqw	47.33	27.8	24.87
6z6q	47.33	27.8	24.87
2b1f	47.33	27.8	24.87
1l8w	47.34	27.8	24.87
4kp4	47.34	27.8	24.87
3u6j	47.34	27.8	24.87
2zm6	47.32	27.8	24.87
5evm	47.31	27.81	24.88
5czh	47.31	27.82	24.88
4usm	47.31	27.82	24.88
3h7g	47.31	27.82	24.88
7o8z	47.31	27.81	24.88
6d82	47.31	27.81	24.88
4xwm	47.31	27.81	24.88
5y0e	47.3	27.82	24.88
8h7f	47.3	27.82	24.88
3qti	47.29	27.82	24.88
7oq8	47.3	27.82	24.88
5hej	47.28	27.84	24.89
6xz6	47.28	27.83	24.88
8tzx	47.25	27.84	24.9
2oh4	47.25	27.85	24.9
5w82	47.25	27.85	24.9
5wq4	47.25	27.85	24.9
4h58	47.25	27.85	24.9
1nig	47.25	27.85	24.9
6jee	47.25	27.85	24.9
4u3g	47.27	27.84	24.89
3vyc	47.27	27.84	24.89
1r9t	47.25	27.85	24.9
5jcz	47.25	27.85	24.9
3x3c	47.26	27.85	24.9
4kdn	47.24	27.85	24.9
4c8l	47.24	27.85	24.9
1aig	47.24	27.85	24.91
1a32	47.24	27.85	24.91
8dyd	47.24	27.85	24.91
5lsk	47.25	27.85	24.9
4g7q	47.25	27.85	24.9
6mbz	47.25	27.85	24.9
6bu6	47.24	27.85	24.91
7bhc	47.25	27.85	24.9
1jnb	47.24	27.85	24.91
6gql	47.24	27.85	24.91
3t3f	47.24	27.85	24.91
4yy2	47.24	27.85	24.91
6xvk	47.24	27.85	24.91
1k05	47.24	27.85	24.91
5hjh	47.24	27.85	24.91
6fku	47.24	27.85	24.91
8ael	47.24	27.85	24.91
8cb7	47.24	27.85	24.91
8upb	47.24	27.85	24.91
6ipm	47.24	27.85	24.91
7khg	47.24	27.85	24.92
7o8r	47.24	27.85	24.91
2bku	47.25	27.84	24.91
2axv	47.26	27.84	24.9
2hr2	47.27	27.83	24.9
4lin	47.29	27.82	24.89
5v2c	47.29	27.82	24.89
6p8b	47.28	27.82	24.9
5x28	47.28	27.83	24.9
4bwl	47.28	27.83	24.9
6c3i	47.29	27.82	24.89
1ld7	47.29	27.82	24.89
6vf5	47.29	27.82	24.89
3f39	47.29	27.82	24.89
5fsh	47.29	27.82	24.89
4a3b	47.27	27.83	24.9
4k33	47.26	27.83	24.9
3ts7	47.27	27.83	24.9
6g6f	47.27	27.83	24.9
1ibl	47.26	27.84	24.9
8tsc	47.26	27.84	24.91
4n4w	47.26	27.84	24.9
4be7	47.26	27.84	24.9
8jrb	47.26	27.84	24.91
5ehh	47.26	27.84	24.91
8an8	47.25	27.84	24.91
6l6p	47.25	27.84	24.91
6za0	47.25	27.84	24.91
6zos	47.25	27.84	24.91
6j42	47.25	27.84	24.91
8qtc	47.26	27.84	24.91
2v2o	47.26	27.83	24.91
1kmb	47.25	27.83	24.91
5yix	47.26	27.83	24.91
4niz	47.26	27.83	24.91
2z5h	47.26	27.83	24.91
2xy5	47.26	27.83	24.91
1yzm	47.26	27.83	24.91
5fvk	47.27	27.83	24.91
4doy	47.27	27.83	24.9
3aha	47.27	27.83	24.9
5ow5	47.28	27.83	24.9
6ak8	47.28	27.82	24.9
3mdy	47.27	27.83	24.9
5hew	47.26	27.84	24.9
6zob	47.26	27.84	24.91
7l4v	47.26	27.84	24.9
3phz	47.25	27.84	24.91
3cly	47.25	27.84	24.91
2awc	47.25	27.84	24.91
2vqf	47.24	27.85	24.91
3ptr	47.24	27.85	24.91
1zke	47.24	27.84	24.91
6o71	47.24	27.85	24.91
2etd	47.24	27.84	24.91
8y9a	47.24	27.84	24.91
1vei	47.25	27.84	24.91
4m15	47.24	27.84	24.91
8tos	47.25	27.84	24.91
6ipf	47.25	27.84	24.91
1t11	47.24	27.84	24.91
1dog	47.24	27.84	24.91
7d3y	47.25	27.84	24.91
4ji9	47.25	27.84	24.91
7t7n	47.25	27.84	24.91
8d0i	47.25	27.84	24.91
5xdb	47.25	27.84	24.91
1wb8	47.25	27.84	24.91
5tn1	47.25	27.84	24.91
4q50	47.26	27.84	24.9
3t48	47.26	27.84	24.9
8u92	47.26	27.84	24.9
2j62	47.26	27.84	24.9
1l8i	47.27	27.83	24.9
2hg9	47.27	27.83	24.9
2y69	47.28	27.83	24.89
3tgu	47.28	27.83	24.89
5d8p	47.3	27.82	24.88
4iyh	47.3	27.82	24.88
7t29	47.3	27.82	24.88
3b2t	47.3	27.82	24.88
3p1r	47.3	27.82	24.88
8he8	47.3	27.82	24.88
2d0t	47.3	27.82	24.88
4v01	47.3	27.82	24.88
1sg2	47.3	27.82	24.88
5msj	47.35	27.8	24.85
3qaz	47.29	27.84	24.87
6bap	47.28	27.85	24.87
4gd3	47.27	27.86	24.87
5jz8	47.27	27.86	24.88
3krw	47.26	27.86	24.88
5b1a	47.27	27.86	24.87
5l6w	47.27	27.86	24.87
5hl8	47.27	27.86	24.87
3haj	47.27	27.85	24.87
3poz	47.27	27.86	24.87
4qjy	47.27	27.86	24.87
1h12	47.27	27.86	24.88
8dz8	47.28	27.85	24.87
3k1i	47.28	27.85	24.87
8u4f	47.28	27.85	24.87
7viq	47.28	27.85	24.87
7opw	47.28	27.85	24.87
5sdn	47.28	27.85	24.87
6vrz	47.28	27.85	24.87
3opc	47.28	27.85	24.87
4z5r	47.25	27.87	24.88
8px1	47.24	27.88	24.88
4xr1	47.24	27.88	24.88
2b4f	47.24	27.88	24.89
4pay	47.24	27.88	24.89
5a3n	47.24	27.88	24.89
7nja	47.24	27.88	24.89
1q07	47.24	27.88	24.89
5ww3	47.24	27.87	24.89
5mfj	47.25	27.87	24.88
6ys4	47.26	27.87	24.88
1sry	47.25	27.87	24.88
8dsw	47.25	27.87	24.88
3dta	47.25	27.87	24.88
4bwx	47.25	27.87	24.88
2d05	47.25	27.87	24.88
2xer	47.26	27.86	24.88
6kn5	47.26	27.86	24.88
6btx	47.26	27.86	24.88
5ham	47.26	27.86	24.88
5we0	47.27	27.86	24.87
8j11	47.27	27.86	24.87
4i0s	47.27	27.86	24.87
7rbg	47.27	27.86	24.88
3bji	47.27	27.86	24.88
5xvb	47.26	27.86	24.88
6ujw	47.27	27.86	24.88
3k6c	47.27	27.85	24.88
7dul	47.26	27.86	24.88
5an5	47.26	27.86	24.88
3g7c	47.26	27.86	24.88
6tgt	47.26	27.86	24.88
3ck7	47.26	27.86	24.88
5kj8	47.26	27.86	24.88
2x0l	47.26	27.86	24.88
7ruv	47.26	27.86	24.88
3kbt	47.26	27.86	24.88
5xrs	47.25	27.87	24.89
8c84	47.25	27.87	24.89
1gnl	47.24	27.86	24.89
5uhs	47.25	27.86	24.89
6c1b	47.24	27.87	24.89
5h6q	47.24	27.87	24.89
6yc1	47.25	27.86	24.88
3i4m	47.23	27.87	24.9
9icg	47.23	27.88	24.9
4gyc	47.23	27.87	24.89
9bor	47.23	27.87	24.9
1unu	47.23	27.87	24.9
4dbl	47.23	27.87	24.89
6aw3	47.23	27.87	24.89
4l3x	47.23	27.88	24.89
8oyw	47.23	27.88	24.89
7k5t	47.23	27.88	24.89
4ihf	47.21	27.89	24.9
3anw	47.21	27.89	24.91
8up7	47.21	27.89	24.91
4otq	47.21	27.89	24.91
5meh	47.21	27.88	24.91
6kyv	47.2	27.89	24.91
1xba	47.2	27.9	24.91
6g65	47.2	27.89	24.91
2e7z	47.2	27.89	24.91
3ss4	47.2	27.89	24.91
5dde	47.2	27.89	24.91
8a7c	47.2	27.89	24.91
1t46	47.2	27.89	24.91
7rbk	47.2	27.89	24.91
5ezm	47.2	27.89	24.91
4yfk	47.17	27.9	24.92
7oyf	47.17	27.9	24.92
7wcl	47.17	27.91	24.92
7y7r	47.16	27.91	24.92
5j1g	47.17	27.91	24.92
2kmb	47.17	27.91	24.92
4hct	47.17	27.91	24.92
3k8v	47.17	27.91	24.92
4ynd	47.17	27.91	24.92
2caz	47.17	27.91	24.92
8gad	47.17	27.9	24.92
6thk	47.18	27.9	24.92
3d50	47.17	27.91	24.92
1gk6	47.17	27.91	24.92
2grm	47.17	27.9	24.92
